POI_ID,CUISINE_TYPE,LAT,LON
800056133,Pizza,49.00564,8.40332
1137449870,Thailändisch,49.01064,8.40138
1039165689,Thailändisch,49.00831,8.4212
1031795144,Indisch,49.01677,8.36119
1193019262,Italienisch,49.00884,8.38963
1193033995,Italienisch,49.01313,8.35574
800766088,Türkisch,49.00225,8.40455
1164958750,Deutsch,49.00966,8.38636
1193025364,Italienisch,49.00568,8.40673
1193809863,Arabisch,49.0087,8.41787
1166565588,Burger,49.00786,8.40372
1193032992,Türkisch,49.0101,8.39328
1039243182,Deutsch,49.00661,8.38169
1039240966,Türkisch,48.99439,8.3959
1148922679,Italienisch,49.00896,8.36783
1193011129,Italienisch,48.98877,8.37706
800758730,Deutsch,49.00124,8.39744
1192311340,Burger,49.01022,8.39789
1192311529,Sandwich,48.9945,8.40032
800764857,Steakhouse,49.00899,8.40213
1039212938,Arabisch,49.00546,8.34104
1039243152,Deutsch,49.00562,8.3722
1193011980,Italienisch,49.00106,8.39417
1193011662,Italienisch,49.00795,8.38108
1039210485,Türkisch,49.00884,8.3919
1193011741,Pizza,49.01146,8.36527
800761204,Japanisch,49.01042,8.39823
1039880842,Deutsch,49.00739,8.41918
1193011622,Italienisch,49.00748,8.39312
1192311791,Mexikanisch,49.01042,8.39823
50603678,Deutsch,49.00022,8.39585
800764452,Italienisch,49.00454,8.40325
800753381,Italienisch,49.0099,8.38978
800761878,Griechisch,49.00403,8.4064
57564426,Chinesisch,49.00054,8.38595
800752194,Indisch,49.00942,8.40732
800766758,Thailändisch,49.00819,8.38957
1176630103,Deutsch,48.99445,8.40144
1039243401,Deutsch,49.00095,8.35161
800763380,Italienisch,49.00828,8.39659
1192925427,Deutsch,48.99736,8.41078
57540958,Huhn,49.01086,8.37495
1193011247,Italienisch,48.99876,8.41066
1039243164,Griechisch,49.00107,8.41312
1039243138,Italienisch,49.00922,8.37631
1193012136,Italienisch,49.00578,8.40339
50603844,Deutsch,49.00398,8.40797
50604137,International,49.00012,8.40321
1039243171,Imbiss,49.01158,8.35925
1144513604,Griechisch,48.99794,8.39381
1193011721,Pizza,49.02262,8.3738
1039210489,Eis,49.00992,8.39726
1193011571,Italienisch,49.01118,8.39965
1039212952,Pizza,48.99914,8.40604
1039210469,Eis,49.0095,8.40511
1039246688,Griechisch,49.00437,8.38495
57561540,Burger,49.01006,8.39442
1193012063,Italienisch,49.01178,8.39933
57540925,Italienisch,49.00165,8.39247
1039243141,Pizza,49.00752,8.38921
800766372,Italienisch,49.00816,8.40952
800753225,Deutsch,49.01002,8.3955
800754421,International,49.0016,8.40789
51773931,Italienisch,49.03231,8.38826
57561537,Fisch,49.00957,8.40461
800759723,Deutsch,49.00826,8.40292
1193016363,Italienisch,49.00631,8.38176
1039246678,Deutsch,49.00823,8.36787
1058326211,Burger,49.00951,8.40491
800760880,Italienisch,49.00721,8.39274
800760087,Deutsch,49.01015,8.39777
800764829,Chinesisch,49.00272,8.40562
1011014060,Deutsch,49.01253,8.42645
1193028461,Italienisch,49.00805,8.39595
1193024473,Deutsch,49.0087,8.42208
1039880841,International,49.00946,8.42244
1148908266,Spanisch,49.0088,8.40407
1039243144,Pizza,48.99472,8.3939
1039243422,International,49.00795,8.31776
1193028891,Französisch,49.00795,8.38108
1193011585,Italienisch,49.00522,8.38179
1193011906,Pizza,49.00909,8.41026
1193033703,Deutsch,49.00549,8.38321
1039243165,Vegetarisch,49.00874,8.40228
1193011991,Italienisch,49.01082,8.42356
1193011433,Italienisch,49.00439,8.38397
1193011592,Pizza,49.01272,8.3585
844320886,Burger,49.00501,8.44638
1193011479,Türkisch,49.00556,8.38155
1039212929,Italienisch,48.99839,8.4043
1039212953,Griechisch,48.99916,8.40689
57563898,Burger,49.02829,8.35829
1193011971,Französisch,49.01178,8.39809
50603872,Italienisch,49.01128,8.39654
1039210490,Französisch,49.00198,8.39418
1039880702,Deutsch,49.0133,8.40265
1193011496,Deutsch,49.00189,8.38976
1192310576,Italienisch,49.0101,8.39778
1193018635,Italienisch,49.00089,8.40572
51773558,Deutsch,48.99507,8.40195
57540924,Indisch,49.00957,8.38989
57562808,Pizza,49.00929,8.39605
50613049,Deutsch,48.99475,8.40041
1144513514,Italienisch,49.00377,8.42638
1193028807,Italienisch,49.00475,8.41641
800761070,Deutsch,49.00907,8.40538
1031175682,Burger,48.99761,8.34699
50603823,Deutsch,49.00496,8.36842
50613043,International,49.01094,8.37169
1193012410,Italienisch,49.01127,8.39652
1039210468,Österreichisch,49.00954,8.40508
51774687,Türkisch,49.01012,8.39296
1039210474,Pizza,49.01076,8.35591
1193037899,Pizza,49.01634,8.44088
1164903342,Pizza,49.01001,8.39462
1039210459,Deutsch,49.00763,8.39337
1193145874,Italienisch,49.00897,8.39592
1193011353,Italienisch,48.99633,8.40844
1039880703,Deutsch,49.0073,8.41403
1039243405,Griechisch,48.99612,8.39158
50604284,Italienisch,49.01459,8.36024
800765287,Indisch,49.00406,8.39458
1192311628,Deutsch,49.01042,8.39823
1192311698,Sandwich,49.01015,8.39778
800763712,Indisch,48.9985,8.40382
800759072,Sushi,49.00721,8.40265
1039240178,Griechisch,49.03191,8.38744
57540923,Italienisch,49.0077,8.39518
1143809686,International,49.01001,8.39462
1070156886,Italienisch,49.01107,8.39518
1192311213,Burger,49.01022,8.39789
1148921787,Deutsch,49.01042,8.39823
57563181,Burger,48.99449,8.4016
1192311739,Türkisch,49.00944,8.40744
1039243172,Türkisch,49.0115,8.36296
1039243423,Deutsch,48.99405,8.36314
1193013391,Italienisch,49.02353,8.366
800756151,Chinesisch,49.00986,8.39861
1149443590,International,49.00566,8.41024
800762969,Italienisch,49.00306,8.40556
1135083805,Burger,49.00884,8.39736
800763967,Chinesisch,49.01097,8.39574
1193021278,Italienisch,49.01249,8.35706
1148924241,Deutsch,48.99993,8.38292
1039165971,Türkisch,49.0024,8.40328
50603616,Italienisch,49.00862,8.37521
1193012433,Deutsch,49.00752,8.4189
1193012346,Italienisch,49.01072,8.39355
1193012303,Italienisch,49.00016,8.40822
1192830165,Türkisch,48.99736,8.41078
1193145827,International,49.00301,8.40192
800753879,Deutsch,49.01174,8.39396
1193944814,Eis,49.00896,8.42366
1039228303,Deutsch,49.03301,8.39147
1148922680,Deutsch,49.00184,8.39355
1148921786,Italienisch,49.00111,8.39083
1148918230,Deutsch,49.00099,8.38873
1148908854,Deutsch,49.0031,8.35591
1193011190,Italienisch,48.99155,8.38905
1193011166,Indisch,49.00729,8.38489
1193015024,Pizza,49.01127,8.35718
800759356,Italienisch,49.0093,8.39893
1193012213,Türkisch,49.01396,8.43092
1039880856,Kontinental,49.00837,8.41995
1039210475,Südostasiatisch,49.00945,8.40652
1039243139,Deutsch,49.00879,8.37608
1039243158,Indisch,49.01326,8.3746
1039243427,Italienisch,49.00515,8.32811
800750586,Arabisch,49.00937,8.41054
50613047,Italienisch,49.00875,8.3999
1039240970,Deutsch,49.00828,8.3728
1164903088,Deutsch,49.00765,8.40763
1193011778,Italienisch,49.00915,8.41236
50603754,Deutsch,49.00845,8.43009
50603831,Deutsch,49.00787,8.40373
57561544,Afrikanisch,48.99935,8.39391
50603940,Italienisch,48.9917,8.39261
1192311615,Türkisch,49.01,8.40963
1192310659,Deutsch,49.00938,8.40909
800748563,Italienisch,49.01083,8.39423
57561539,Burger,49.00952,8.40545
1161795126,International,49.00153,8.36663
800764690,Osteuropäisch,49.00419,8.39783
1161465066,Kontinental,48.99419,8.39846
1039210499,Türkisch,48.99864,8.39387
1039210458,Eis,49.0094,8.4077
1039880697,International,49.01091,8.40264
1039880699,International,49.00888,8.39835
1164819837,Burger,49.01001,8.39462
1164819836,Deutsch,49.01044,8.38464
1161449916,Fisch,49.00564,8.40332
1039257740,Griechisch,49.03137,8.37228
1039243398,Imbiss,49.01609,8.36228
1193011563,Italienisch,49.01249,8.35706
1039212931,Imbiss,49.0101,8.40519
1039212963,Eis,48.99312,8.35392
1193011683,Italienisch,49.0113,8.36076
1039243400,Deutsch,49.00078,8.35122
1039243404,Griechisch,49.02561,8.36094
1192311677,Deutsch,49.00939,8.40882
1039212939,Deutsch,49.00648,8.32796
1193011672,Deutsch,49.00619,8.38178
1039243132,International,49.00696,8.39127
1039243156,Deutsch,49.00784,8.41363
1039243142,Arabisch,49.00764,8.38751
57562999,Burger,49.01447,8.35174
1039243410,Deutsch,48.99519,8.35236
57563040,International,49.00269,8.39381
50604186,Deutsch,49.00927,8.33366
51774690,Afrikanisch,49.01097,8.39731
1193040005,Pizza,49.00973,8.38182
800765870,Italienisch,49.0089,8.39565
57568242,Deutsch,49.00308,8.40193
1178082138,International,48.99419,8.39841
844320896,Burger,49.03398,8.39424
57563179,Burger,48.99049,8.37234
51773560,Deutsch,49.00764,8.35642
800765290,Mexikanisch,49.00877,8.39543
1193104529,Italienisch,49.02499,8.35672
1039243155,Deutsch,49.01031,8.42337
1039243159,Deutsch,49.0093,8.37489
57552803,Italienisch,49.01021,8.40773
800748746,Griechisch,49.00832,8.39767
1039212923,Arabisch,49.00656,8.40592
800758882,Türkisch,49.00939,8.40882
800749380,Deutsch,49.00925,8.39504
800758758,Chinesisch,49.00557,8.41055
1193011709,Türkisch,49.01016,8.39213
1193011544,Türkisch,49.00895,8.39156
